1,4,Dwutygodnik,Dwutygodnik S,4060,15
2,8,Dwutygodnik,Dwutygodnik J,11900,19
3,2,Tygodnik,Tygodnik S,5390,11
4,1,Dziennik,Dziennik X,1680,13
5,1,Miesiecznik,Miesiecznik Y,3080,27
6,2,Miesiecznik,Miesiecznik R,12180,27
7,8,Tygodnik,Tygodnik F,17640,10
8,9,Miesiecznik,Miesiecznik H,17360,15
9,6,Miesiecznik,Miesiecznik L,1400,19
10,7,Dwutygodnik,Dwutygodnik O,2380,21
11,8,Dziennik,Dziennik I,1540,10
12,9,Kwartalnik,Kwartalnik F,6160,39
13,10,Miesiecznik,Miesiecznik H,14280,24
14,11,Dziennik,Dziennik Q,770,11
15,4,Dziennik,Dziennik M,7140,13
16,4,Dwutygodnik,Dwutygodnik I,3640,28
17,9,Kwartalnik,Kwartalnik O,4760,31
18,11,Dwutygodnik,Dwutygodnik U,3150,16
19,3,Tygodnik,Tygodnik W,7840,14
20,7,Kwartalnik,Kwartalnik Q,10920,39
21,7,Tygodnik,Tygodnik Q,6300,14
